State/UnionTerritory,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02
Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,22.0,27.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,38.0,38.0,38.0,38.0,41.0,44.0,44.0,44.0,45.0,47.0,48.0,48.0,50.0,56.0,59.0,72.0,72.0,76.0,90.0,97.0,100.0,109.0,116.0,119.0,125.0,141.0,147.0,149.0,151.0,156.0,163.0,163.0,166.0,166.0,176.0,180.0,194.0,198.0,203.0,207.0,212.0,221.0,240.0,259.0,290.0,324.0,338.0,363.0,428.0,471.0,548.0,636.0
Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,7.0,8.0,9.0,11.0,12.0,14.0,19.0,23.0,40.0,83.0,86.0,132.0,161.0,190.0,226.0,266.0,305.0,348.0,363.0,381.0,381.0,432.0,473.0,503.0,534.0,572.0,603.0,603.0,722.0,757.0,813.0,895.0,955.0,1061.0,1097.0,1177.0,1259.0,1332.0,1403.0,1463.0,1463.0,1583.0,1650.0,1717.0,1717.0,1777.0,1847.0,1887.0,1930.0,1980.0,2018.0,2090.0,2137.0,2205.0,2307.0,2355.0,2407.0,2474.0,2532.0,2602.0,2647.0,2709.0,2757.0,2823.0,3110.0,3171.0,3171.0,3251.0,3436.0,3569.0,3679.0,3783.0,3898.0,4080.0,4223.0,4303.0,4510.0,4708.0,4851.0,5070.0,5269.0,5429.0,5680.0,5965.0,6163.0,6456.0,6841.0,7071.0,7518.0,7961.0,8452.0,8999.0,9372.0,10002.0,10331.0,10884.0,11489.0,12285.0,13241.0,13891.0,14595.0,15252.0,16097.0,16934.0,17699.0,18697.0,20019.0,21197.0,22259.0,23814.0,25422.0,27235.0,29168.0,31103.0,33019.0,35451.0,38044.0,40646.0,44609.0,49650.0,53724.0,58668.0,64713.0,72711.0,80858.0,88671.0,96298.0,102349.0,110297.0,120390.0,130557.0,140933.0,150209.0
Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,22.0,22.0,38.0,42.0,45.0,47.0,51.0,51.0,57.0,57.0,61.0,67.0,87.0,91.0,91.0,95.0,99.0,103.0,103.0,135.0,135.0,139.0,148.0,158.0,160.0,172.0,177.0,182.0,187.0,191.0,195.0,195.0,252.0,259.0,269.0,270.0,276.0,287.0,302.0,335.0,341.0,359.0,387.0,462.0,462.0,543.0,609.0,650.0,740.0,790.0,858.0,949.0,991.0,1056.0,1126.0,1158.0,1239.0,1330.0,1410.0,1484.0,1591.0,1673.0
Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,16.0,24.0,26.0,26.0,26.0,27.0,28.0,29.0,29.0,29.0,31.0,31.0,33.0,33.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,38.0,38.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,45.0,54.0,59.0,63.0,63.0,65.0,65.0,80.0,87.0,90.0,92.0,101.0,107.0,142.0,170.0,203.0,259.0,329.0,378.0,526.0,616.0,781.0,856.0,1024.0,1185.0,1272.0,1390.0,1513.0,1672.0,1988.0,2153.0,2397.0,2565.0,2776.0,2937.0,3092.0,3319.0,3498.0,3718.0,4049.0,4158.0,4319.0,4605.0,4777.0,4904.0,4904.0,5388.0,5586.0,5831.0,6198.0,6321.0,6607.0,6816.0,7206.0,7752.0,8227.0,8582.0,9013.0,9673.0,10668.0,11388.0,12160.0,12522.0,13336.0,14032.0,14600.0,15536.0,16071.0,16806.0,17807.0,18666.0,19754.0,20646.0,22918.0,23999.0,25382.0,25382.0,26772.0,28791.0,29921.0,31086.0,32228.0,33576.0,34947.0,36295.0,38407.0,40269.0,41726.0
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,4.0,6.0,6.0,9.0,11.0,15.0,15.0,23.0,24.0,29.0,30.0,30.0,32.0,32.0,38.0,39.0,60.0,60.0,64.0,64.0,66.0,70.0,74.0,83.0,85.0,86.0,96.0,114.0,126.0,148.0,176.0,228.0,251.0,277.0,346.0,383.0,403.0,426.0,471.0,482.0,517.0,529.0,536.0,542.0,550.0,571.0,591.0,696.0,747.0,831.0,940.0,994.0,1018.0,1179.0,1262.0,1391.0,1498.0,1674.0,1982.0,2177.0,2380.0,2587.0,2730.0,2983.0,3061.0,3296.0,3376.0,3636.0,3815.0,3926.0,4155.0,4390.0,4493.0,4596.0,4915.0,5088.0,5202.0,5459.0,5710.0,5983.0,6103.0,6290.0,6470.0,6650.0,6778.0,6942.0,7025.0,7181.0,7533.0,7612.0,7825.0,8153.0,8209.0,8473.0,8716.0,8931.0,9212.0,9640.0,10043.0,10249.0,10471.0,10954.0,11700.0,11876.0,12125.0,12570.0,13189.0,13944.0,14575.0,15373.0,16642.0,17959.0,19284.0,20612.0,21764.0,23589.0,25136.0,26569.0,27646.0,28952.0,30369.0,31980.0,33926.0,36604.0,39176.0,41244.0,43843.0,46080.0,48477.0,51233.0,54240.0
Cases being reassigned to states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096.0,1403.0,1620.0,1899.0,2338.0,2642.0,2970.0,4013.0,4332.0,4673.0,5043.0,5491.0,5630.0,6414.0,7123.0,7483.0,7610.0,8192.0,8605.0,9189.0,8803.0,9227.0,8931.0,8315.0,7984.0,7436.0,6972.0,7684.0,8273.0,8703.0,8927.0,9265.0,9127.0,7832.0,8015.0,8141.0,8493.0,8123.0,8023.0,7839.0,7285.0,7004.0,6915.0,6832.0,6031.0,4999.0,4629.0,4913.0,5034.0,5018.0,4385.0,4161.0,3416.0,3024.0,2358.0,2179.0,1524.0,1285.0,531.0,163.0,,,,,,,,,,,,,,,
Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,13.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,26.0,26.0,27.0,27.0,27.0,28.0,30.0,30.0,40.0,56.0,56.0,56.0,88.0,94.0,94.0,102.0,111.0,120.0,135.0,150.0,169.0,169.0,174.0,187.0,187.0,191.0,191.0,191.0,191.0,196.0,200.0,202.0,217.0,218.0,225.0,238.0,238.0,266.0,279.0,288.0,289.0,289.0,293.0,294.0,301.0,301.0,301.0,304.0,309.0,314.0,317.0,323.0,327.0,332.0,334.0,345.0,352.0,354.0,358.0,368.0,374.0,381.0,404.0,406.0,411.0,418.0,420.0,423.0,425.0,428.0,429.0,435.0,440.0,446.0,450.0,457.0,460.0,466.0,489.0,494.0,513.0,523.0,539.0,555.0,559.0,588.0,600.0,625.0,651.0,660.0,700.0,717.0,737.0,751.0,793.0,800.0,823.0,852.0,887.0,910.0,934.0,978.0,1016.0,1051.0,1079.0
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,18.0,25.0,31.0,31.0,33.0,33.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,40.0,43.0,43.0,57.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,66.0,67.0,86.0,93.0,101.0,115.0,128.0,172.0,214.0,252.0,291.0,361.0,369.0,399.0,415.0,447.0,498.0,547.0,564.0,668.0,756.0,879.0,923.0,1073.0,1160.0,1240.0,1262.0,1398.0,1429.0,1512.0,1662.0,1756.0,1781.0,1864.0,1946.0,2028.0,2041.0,2275.0,2303.0,2362.0,2419.0,2452.0,2545.0,2545.0,2662.0,2761.0,2860.0,2940.0,3013.0,3065.0,3161.0,3207.0,3305.0,3415.0,3525.0,3675.0,3767.0,3897.0,4059.0,4217.0,4379.0,4539.0,4732.0,4964.0,5233.0,5407.0,5561.0,5729.0,5968.0,6254.0,6731.0,7087.0,7450.0,7745.0,8257.0,8539.0,8761.0,9086.0,9385.0
Dadar Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,8.0,12.0,14.0,19.0,20.0,22.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,35.0,36.0,36.0,45.0,57.0,58.0,62.0,68.0,88.0,91.0,120.0,120.0,155.0,163.0,177.0,178.0,203.0,213.0,215.0,230.0,257.0,271.0,271.0,297.0,405.0,408.0,411.0,459.0,471.0,479.0,495.0,520.0,539.0,552.0,585.0,602.0,605.0,684.0,705.0,733.0,770.0,815.0,860.0,914.0,946.0,982.0,1026.0,1064.0,1100.0,1145.0
